Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T),row_sum
700,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1958,0,0,0,1,1,0,0,0,0,0,0,0,0,2
708,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1982,0,0,1,0,0,0,0,0,0,0,0,0,0,1
718,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2024,0,0,1,0,0,0,0,0,0,0,0,0,0,1
744,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2109,0,1,1,0,1,0,0,0,0,0,0,0,0,3
745,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2111,0,0,1,0,1,0,0,0,0,0,0,0,0,2
767,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2223,0,0,1,0,0,0,0,0,0,0,0,0,0,1
774,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2265,0,0,1,0,0,0,0,0,0,0,0,0,0,1
781,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2287,0,0,1,0,0,0,0,0,0,0,0,0,0,1
816,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species35,0,0,1,0,0,0,0,0,0,0,0,0,0,1
846,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species523,0,0,1,0,0,0,0,0,0,0,0,0,0,1
896,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species823,1,0,0,0,0,0,0,0,0,0,0,0,0,1
901,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species846,0,0,1,0,0,0,0,0,0,0,0,0,0,1
918,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species922,0,0,1,0,0,0,0,0,0,0,0,0,0,1
932,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,0,0,1,0,0,0,0,0,0,0,0,0,0,1
939,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
