index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
107,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus296_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus300_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus333_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus346_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus378_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus378_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus61_Unknown species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus76_Unknown species7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus80_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus88_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
