Feature ID	Taxon	Confidence
Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Assigned_genus24_Assigned_species1_58	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__uncultured_organism	0.999999548
Bacteria_Caldithrix_KSB1_GW-22_Unknown_family_Assigned_genus19_Assigned_species3_59	d__Bacteria	1
Bacteria_Caldithrix_KSB1_GW-22_Unknown_family_Assigned_genus45_Assigned_species3_60	d__Bacteria	1
Bacteria_Caldithrix_KSB1_GW-22_Unknown_family_Assigned_genus19_Assigned_species2_61	d__Bacteria	1
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_62	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.963590665
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_63	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.96053161
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_64	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.960081993
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_65	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.957204367
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_66	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.964757537
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_67	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.961704897
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_68	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.961264344
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_69	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.958413201
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_70	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.962457635
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_71	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.959004943
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_72	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.958542481
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_73	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.955358181
